Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Sexe,Nacionalitat,Edat_quinquennal,Nombre
2015,1,Ciutat Vella,1,el Raval,Home,Espanyola,0-4 anys,443
2015,1,Ciutat Vella,2,el Barri Gòtic,Home,Espanyola,0-4 anys,138
2015,1,Ciutat Vella,3,la Barceloneta,Home,Espanyola,0-4 anys,167
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Home,Espanyola,0-4 anys,254
2015,2,Eixample,5,el Fort Pienc,Home,Espanyola,0-4 anys,509
2015,2,Eixample,6,la Sagrada Família,Home,Espanyola,0-4 anys,802
2015,2,Eixample,7,la Dreta de l'Eixample,Home,Espanyola,0-4 anys,777
2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Home,Espanyola,0-4 anys,693
2015,2,Eixample,9,la Nova Esquerra de l'Eixample,Home,Espanyola,0-4 anys,898
2015,2,Eixample,10,Sant Antoni,Home,Espanyola,0-4 anys,599
2015,3,Sants-Montjuïc,11,el Poble Sec,Home,Espanyola,0-4 anys,564
2015,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Home,Espanyola,0-4 anys,24
2015,3,Sants-Montjuïc,13,la Marina de Port,Home,Espanyola,0-4 anys,553
2015,3,Sants-Montjuïc,14,la Font de la Guatlla,Home,Espanyola,0-4 anys,139
2015,3,Sants-Montjuïc,15,Hostafrancs,Home,Espanyola,0-4 anys,254
2015,3,Sants-Montjuïc,16,la Bordeta,Home,Espanyola,0-4 anys,319
2015,3,Sants-Montjuïc,17,Sants - Badal,Home,Espanyola,0-4 anys,357
2015,3,Sants-Montjuïc,18,Sants,Home,Espanyola,0-4 anys,740
2015,4,Les Corts,19,les Corts,Home,Espanyola,0-4 anys,878
2015,4,Les Corts,20,la Maternitat i Sant Ramon,Home,Espanyola,0-4 anys,470
2015,4,Les Corts,21,Pedralbes,Home,Espanyola,0-4 anys,189
2015,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Home,Espanyola,0-4 anys,132
2015,5,Sarrià-Sant Gervasi,23,Sarrià,Home,Espanyola,0-4 anys,683
2015,5,Sarrià-Sant Gervasi,24,les Tres Torres,Home,Espanyola,0-4 anys,420
2015,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Home,Espanyola,0-4 anys,555
2015,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Home,Espanyola,0-4 anys,931
2015,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Home,Espanyola,0-4 anys,598
2015,6,Gràcia,28,Vallcarca i els Penitents,Home,Espanyola,0-4 anys,329
2015,6,Gràcia,29,el Coll,Home,Espanyola,0-4 anys,149
2015,6,Gràcia,30,la Salut,Home,Espanyola,0-4 anys,259
2015,6,Gràcia,31,la Vila de Gràcia,Home,Espanyola,0-4 anys,997
2015,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Home,Espanyola,0-4 anys,602
2015,7,Horta-Guinardó,33,el Baix Guinardó,Home,Espanyola,0-4 anys,407
2015,7,Horta-Guinardó,34,Can Baró,Home,Espanyola,0-4 anys,127
