Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Sexe,Nacionalitat,Edat_quinquennal,Nombre
2014,1,Ciutat Vella,1,el Raval,Home,Espanyola,0-4 anys,442
2014,1,Ciutat Vella,2,el Barri Gòtic,Home,Espanyola,0-4 anys,149
2014,1,Ciutat Vella,3,la Barceloneta,Home,Espanyola,0-4 anys,186
2014,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Home,Espanyola,0-4 anys,253
2014,2,Eixample,5,el Fort Pienc,Home,Espanyola,0-4 anys,522
2014,2,Eixample,6,la Sagrada Família,Home,Espanyola,0-4 anys,788
2014,2,Eixample,7,la Dreta de l'Eixample,Home,Espanyola,0-4 anys,801
2014,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Home,Espanyola,0-4 anys,667
2014,2,Eixample,9,la Nova Esquerra de l'Eixample,Home,Espanyola,0-4 anys,891
2014,2,Eixample,10,Sant Antoni,Home,Espanyola,0-4 anys,579
2014,3,Sants-Montjuïc,11,el Poble Sec,Home,Espanyola,0-4 anys,561
2014,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Home,Espanyola,0-4 anys,19
2014,3,Sants-Montjuïc,13,la Marina de Port,Home,Espanyola,0-4 anys,579
2014,3,Sants-Montjuïc,14,la Font de la Guatlla,Home,Espanyola,0-4 anys,137
2014,3,Sants-Montjuïc,15,Hostafrancs,Home,Espanyola,0-4 anys,256
2014,3,Sants-Montjuïc,16,la Bordeta,Home,Espanyola,0-4 anys,313
2014,3,Sants-Montjuïc,17,Sants - Badal,Home,Espanyola,0-4 anys,354
2014,3,Sants-Montjuïc,18,Sants,Home,Espanyola,0-4 anys,709
2014,4,Les Corts,19,les Corts,Home,Espanyola,0-4 anys,862
2014,4,Les Corts,20,la Maternitat i Sant Ramon,Home,Espanyola,0-4 anys,463
2014,4,Les Corts,21,Pedralbes,Home,Espanyola,0-4 anys,203
2014,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Home,Espanyola,0-4 anys,132
2014,5,Sarrià-Sant Gervasi,23,Sarrià,Home,Espanyola,0-4 anys,685
2014,5,Sarrià-Sant Gervasi,24,les Tres Torres,Home,Espanyola,0-4 anys,451
2014,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Home,Espanyola,0-4 anys,563
2014,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Home,Espanyola,0-4 anys,944
2014,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Home,Espanyola,0-4 anys,623
2014,6,Gràcia,28,Vallcarca i els Penitents,Home,Espanyola,0-4 anys,309
2014,6,Gràcia,29,el Coll,Home,Espanyola,0-4 anys,145
2014,6,Gràcia,30,la Salut,Home,Espanyola,0-4 anys,245
2014,6,Gràcia,31,la Vila de Gràcia,Home,Espanyola,0-4 anys,960
2014,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Home,Espanyola,0-4 anys,607
2014,7,Horta-Guinardó,33,el Baix Guinardó,Home,Espanyola,0-4 anys,444
2014,7,Horta-Guinardó,34,Can Baró,Home,Espanyola,0-4 anys,134
