Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Sexe,Nacionalitat,Edat_quinquennal,Nombre
2017,1,Ciutat Vella,1,el Raval,Home,Espanyola,0-4 anys,429
2017,1,Ciutat Vella,2,el Barri Gòtic,Home,Espanyola,0-4 anys,137
2017,1,Ciutat Vella,3,la Barceloneta,Home,Espanyola,0-4 anys,146
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Home,Espanyola,0-4 anys,250
2017,2,Eixample,5,el Fort Pienc,Home,Espanyola,0-4 anys,503
2017,2,Eixample,6,la Sagrada Família,Home,Espanyola,0-4 anys,768
2017,2,Eixample,7,la Dreta de l'Eixample,Home,Espanyola,0-4 anys,752
2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Home,Espanyola,0-4 anys,703
2017,2,Eixample,9,la Nova Esquerra de l'Eixample,Home,Espanyola,0-4 anys,926
2017,2,Eixample,10,Sant Antoni,Home,Espanyola,0-4 anys,573
2017,3,Sants-Montjuïc,11,el Poble Sec - AEI Parc Montjuïc,Home,Espanyola,0-4 anys,575
2017,3,Sants-Montjuïc,12,la Marina del Prat Vermell - AEI Zona Franca,Home,Espanyola,0-4 anys,31
2017,3,Sants-Montjuïc,13,la Marina de Port,Home,Espanyola,0-4 anys,483
2017,3,Sants-Montjuïc,14,la Font de la Guatlla,Home,Espanyola,0-4 anys,150
2017,3,Sants-Montjuïc,15,Hostafrancs,Home,Espanyola,0-4 anys,257
2017,3,Sants-Montjuïc,16,la Bordeta,Home,Espanyola,0-4 anys,322
2017,3,Sants-Montjuïc,17,Sants - Badal,Home,Espanyola,0-4 anys,346
2017,3,Sants-Montjuïc,18,Sants,Home,Espanyola,0-4 anys,752
2017,4,Les Corts,19,les Corts,Home,Espanyola,0-4 anys,861
2017,4,Les Corts,20,la Maternitat i Sant Ramon,Home,Espanyola,0-4 anys,455
2017,4,Les Corts,21,Pedralbes,Home,Espanyola,0-4 anys,182
2017,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Home,Espanyola,0-4 anys,130
2017,5,Sarrià-Sant Gervasi,23,Sarrià,Home,Espanyola,0-4 anys,649
2017,5,Sarrià-Sant Gervasi,24,les Tres Torres,Home,Espanyola,0-4 anys,404
2017,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Home,Espanyola,0-4 anys,568
2017,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Home,Espanyola,0-4 anys,886
2017,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Home,Espanyola,0-4 anys,617
2017,6,Gràcia,28,Vallcarca i els Penitents,Home,Espanyola,0-4 anys,293
2017,6,Gràcia,29,el Coll,Home,Espanyola,0-4 anys,146
2017,6,Gràcia,30,la Salut,Home,Espanyola,0-4 anys,244
2017,6,Gràcia,31,la Vila de Gràcia,Home,Espanyola,0-4 anys,966
2017,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Home,Espanyola,0-4 anys,642
2017,7,Horta-Guinardó,33,el Baix Guinardó,Home,Espanyola,0-4 anys,422
2017,7,Horta-Guinardó,34,Can Baró,Home,Espanyola,0-4 anys,125
2017,7,Horta-Guinardó,35,el Guinardó,Home,Espanyola,0-4 anys,683
2017,7,Horta-Guinardó,36,la Font d'en Fargues,Home,Espanyola,0-4 anys,178
2017,7,Horta-Guinardó,37,el Carmel,Home,Espanyola,0-4 anys,578
2017,7,Horta-Guinardó,38,la Teixonera,Home,Espanyola,0-4 anys,186
2017,7,Horta-Guinardó,39,Sant Genís dels Agudells,Home,Espanyola,0-4 anys,109
2017,7,Horta-Guinardó,40,Montbau,Home,Espanyola,0-4 anys,69
2017,7,Horta-Guinardó,41,la Vall d'Hebron,Home,Espanyola,0-4 anys,107
2017,7,Horta-Guinardó,42,la Clota,Home,Espanyola,0-4 anys,24
2017,7,Horta-Guinardó,43,Horta,Home,Espanyola,0-4 anys,471
2017,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Home,Espanyola,0-4 anys,414
2017,8,Nou Barris,45,Porta,Home,Espanyola,0-4 anys,423
2017,8,Nou Barris,46,el Turó de la Peira,Home,Espanyola,0-4 anys,255
2017,8,Nou Barris,47,Can Peguera,Home,Espanyola,0-4 anys,27
2017,8,Nou Barris,48,la Guineueta,Home,Espanyola,0-4 anys,271
2017,8,Nou Barris,49,Canyelles,Home,Espanyola,0-4 anys,122
2017,8,Nou Barris,50,les Roquetes,Home,Espanyola,0-4 anys,252
2017,8,Nou Barris,51,Verdun,Home,Espanyola,0-4 anys,192
2017,8,Nou Barris,52,la Prosperitat,Home,Espanyola,0-4 anys,433
2017,8,Nou Barris,53,la Trinitat Nova,Home,Espanyola,0-4 anys,132
2017,8,Nou Barris,54,Torre Baró,Home,Espanyola,0-4 anys,62
2017,8,Nou Barris,55,Ciutat Meridiana,Home,Espanyola,0-4 anys,173
2017,8,Nou Barris,56,Vallbona,Home,Espanyola,0-4 anys,30
2017,9,Sant Andreu,57,la Trinitat Vella,Home,Espanyola,0-4 anys,183
2017,9,Sant Andreu,58,Baró de Viver,Home,Espanyola,0-4 anys,49
2017,9,Sant Andreu,59,el Bon Pastor,Home,Espanyola,0-4 anys,279
2017,9,Sant Andreu,60,Sant Andreu,Home,Espanyola,0-4 anys,1203
2017,9,Sant Andreu,61,la Sagrera,Home,Espanyola,0-4 anys,571
2017,9,Sant Andreu,62,el Congrés i els Indians,Home,Espanyola,0-4 anys,279
2017,9,Sant Andreu,63,Navas,Home,Espanyola,0-4 anys,375
2017,10,Sant Martí,64,el Camp de l'Arpa del Clot,Home,Espanyola,0-4 anys,594
2017,10,Sant Martí,65,el Clot,Home,Espanyola,0-4 anys,438
2017,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Home,Espanyola,0-4 anys,286
2017,10,Sant Martí,67,la Vila Olímpica del Poblenou,Home,Espanyola,0-4 anys,199
2017,10,Sant Martí,68,el Poblenou,Home,Espanyola,0-4 anys,777
2017,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Home,Espanyola,0-4 anys,401
2017,10,Sant Martí,70,el Besòs i el Maresme,Home,Espanyola,0-4 anys,330
2017,10,Sant Martí,71,Provençals del Poblenou,Home,Espanyola,0-4 anys,403
2017,10,Sant Martí,72,Sant Martí de Provençals,Home,Espanyola,0-4 anys,438
2017,10,Sant Martí,73,la Verneda i la Pau,Home,Espanyola,0-4 anys,483
2017,1,Ciutat Vella,1,el Raval,Home,Espanyola,5-9 anys,667
2017,1,Ciutat Vella,2,el Barri Gòtic,Home,Espanyola,5-9 anys,154
2017,1,Ciutat Vella,3,la Barceloneta,Home,Espanyola,5-9 anys,163
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Home,Espanyola,5-9 anys,260
2017,2,Eixample,5,el Fort Pienc,Home,Espanyola,5-9 anys,540
2017,2,Eixample,6,la Sagrada Família,Home,Espanyola,5-9 anys,744
2017,2,Eixample,7,la Dreta de l'Eixample,Home,Espanyola,5-9 anys,785
2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Home,Espanyola,5-9 anys,700
2017,2,Eixample,9,la Nova Esquerra de l'Eixample,Home,Espanyola,5-9 anys,916
2017,2,Eixample,10,Sant Antoni,Home,Espanyola,5-9 anys,577
2017,3,Sants-Montjuïc,11,el Poble Sec - AEI Parc Montjuïc,Home,Espanyola,5-9 anys,583
2017,3,Sants-Montjuïc,12,la Marina del Prat Vermell - AEI Zona Franca,Home,Espanyola,5-9 anys,14
2017,3,Sants-Montjuïc,13,la Marina de Port,Home,Espanyola,5-9 anys,688
2017,3,Sants-Montjuïc,14,la Font de la Guatlla,Home,Espanyola,5-9 anys,146
2017,3,Sants-Montjuïc,15,Hostafrancs,Home,Espanyola,5-9 anys,231
2017,3,Sants-Montjuïc,16,la Bordeta,Home,Espanyola,5-9 anys,311
2017,3,Sants-Montjuïc,17,Sants - Badal,Home,Espanyola,5-9 anys,375
2017,3,Sants-Montjuïc,18,Sants,Home,Espanyola,5-9 anys,670
2017,4,Les Corts,19,les Corts,Home,Espanyola,5-9 anys,873
2017,4,Les Corts,20,la Maternitat i Sant Ramon,Home,Espanyola,5-9 anys,466
2017,4,Les Corts,21,Pedralbes,Home,Espanyola,5-9 anys,270
2017,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Home,Espanyola,5-9 anys,137
2017,5,Sarrià-Sant Gervasi,23,Sarrià,Home,Espanyola,5-9 anys,712
2017,5,Sarrià-Sant Gervasi,24,les Tres Torres,Home,Espanyola,5-9 anys,495
2017,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Home,Espanyola,5-9 anys,622
2017,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Home,Espanyola,5-9 anys,1093
2017,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Home,Espanyola,5-9 anys,644
2017,6,Gràcia,28,Vallcarca i els Penitents,Home,Espanyola,5-9 anys,333
2017,6,Gràcia,29,el Coll,Home,Espanyola,5-9 anys,172
2017,6,Gràcia,30,la Salut,Home,Espanyola,5-9 anys,249
2017,6,Gràcia,31,la Vila de Gràcia,Home,Espanyola,5-9 anys,866
2017,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Home,Espanyola,5-9 anys,605
2017,7,Horta-Guinardó,33,el Baix Guinardó,Home,Espanyola,5-9 anys,471
2017,7,Horta-Guinardó,34,Can Baró,Home,Espanyola,5-9 anys,147
2017,7,Horta-Guinardó,35,el Guinardó,Home,Espanyola,5-9 anys,677
2017,7,Horta-Guinardó,36,la Font d'en Fargues,Home,Espanyola,5-9 anys,223
2017,7,Horta-Guinardó,37,el Carmel,Home,Espanyola,5-9 anys,634
2017,7,Horta-Guinardó,38,la Teixonera,Home,Espanyola,5-9 anys,210
2017,7,Horta-Guinardó,39,Sant Genís dels Agudells,Home,Espanyola,5-9 anys,105
2017,7,Horta-Guinardó,40,Montbau,Home,Espanyola,5-9 anys,110
2017,7,Horta-Guinardó,41,la Vall d'Hebron,Home,Espanyola,5-9 anys,98
2017,7,Horta-Guinardó,42,la Clota,Home,Espanyola,5-9 anys,15
2017,7,Horta-Guinardó,43,Horta,Home,Espanyola,5-9 anys,524
2017,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Home,Espanyola,5-9 anys,453
2017,8,Nou Barris,45,Porta,Home,Espanyola,5-9 anys,451
2017,8,Nou Barris,46,el Turó de la Peira,Home,Espanyola,5-9 anys,269
2017,8,Nou Barris,47,Can Peguera,Home,Espanyola,5-9 anys,63
2017,8,Nou Barris,48,la Guineueta,Home,Espanyola,5-9 anys,295
2017,8,Nou Barris,49,Canyelles,Home,Espanyola,5-9 anys,119
2017,8,Nou Barris,50,les Roquetes,Home,Espanyola,5-9 anys,328
2017,8,Nou Barris,51,Verdun,Home,Espanyola,5-9 anys,219
2017,8,Nou Barris,52,la Prosperitat,Home,Espanyola,5-9 anys,495
2017,8,Nou Barris,53,la Trinitat Nova,Home,Espanyola,5-9 anys,136
2017,8,Nou Barris,54,Torre Baró,Home,Espanyola,5-9 anys,76
2017,8,Nou Barris,55,Ciutat Meridiana,Home,Espanyola,5-9 anys,199
2017,8,Nou Barris,56,Vallbona,Home,Espanyola,5-9 anys,44
2017,9,Sant Andreu,57,la Trinitat Vella,Home,Espanyola,5-9 anys,235
2017,9,Sant Andreu,58,Baró de Viver,Home,Espanyola,5-9 anys,58
2017,9,Sant Andreu,59,el Bon Pastor,Home,Espanyola,5-9 anys,394
2017,9,Sant Andreu,60,Sant Andreu,Home,Espanyola,5-9 anys,1295
2017,9,Sant Andreu,61,la Sagrera,Home,Espanyola,5-9 anys,548
2017,9,Sant Andreu,62,el Congrés i els Indians,Home,Espanyola,5-9 anys,270
2017,9,Sant Andreu,63,Navas,Home,Espanyola,5-9 anys,401
2017,10,Sant Martí,64,el Camp de l'Arpa del Clot,Home,Espanyola,5-9 anys,603
2017,10,Sant Martí,65,el Clot,Home,Espanyola,5-9 anys,523
2017,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Home,Espanyola,5-9 anys,248
2017,10,Sant Martí,67,la Vila Olímpica del Poblenou,Home,Espanyola,5-9 anys,210
2017,10,Sant Martí,68,el Poblenou,Home,Espanyola,5-9 anys,832
2017,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Home,Espanyola,5-9 anys,381
2017,10,Sant Martí,70,el Besòs i el Maresme,Home,Espanyola,5-9 anys,477
2017,10,Sant Martí,71,Provençals del Poblenou,Home,Espanyola,5-9 anys,441
2017,10,Sant Martí,72,Sant Martí de Provençals,Home,Espanyola,5-9 anys,485
2017,10,Sant Martí,73,la Verneda i la Pau,Home,Espanyola,5-9 anys,493
2017,1,Ciutat Vella,1,el Raval,Home,Espanyola,10-14 anys,626
2017,1,Ciutat Vella,2,el Barri Gòtic,Home,Espanyola,10-14 anys,158
2017,1,Ciutat Vella,3,la Barceloneta,Home,Espanyola,10-14 anys,190
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Home,Espanyola,10-14 anys,240
2017,2,Eixample,5,el Fort Pienc,Home,Espanyola,10-14 anys,506
2017,2,Eixample,6,la Sagrada Família,Home,Espanyola,10-14 anys,781
2017,2,Eixample,7,la Dreta de l'Eixample,Home,Espanyola,10-14 anys,748
2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Home,Espanyola,10-14 anys,664
2017,2,Eixample,9,la Nova Esquerra de l'Eixample,Home,Espanyola,10-14 anys,910
2017,2,Eixample,10,Sant Antoni,Home,Espanyola,10-14 anys,544
2017,3,Sants-Montjuïc,11,el Poble Sec - AEI Parc Montjuïc,Home,Espanyola,10-14 anys,581
2017,3,Sants-Montjuïc,12,la Marina del Prat Vermell - AEI Zona Franca,Home,Espanyola,10-14 anys,30
2017,3,Sants-Montjuïc,13,la Marina de Port,Home,Espanyola,10-14 anys,657
2017,3,Sants-Montjuïc,14,la Font de la Guatlla,Home,Espanyola,10-14 anys,180
2017,3,Sants-Montjuïc,15,Hostafrancs,Home,Espanyola,10-14 anys,218
2017,3,Sants-Montjuïc,16,la Bordeta,Home,Espanyola,10-14 anys,317
2017,3,Sants-Montjuïc,17,Sants - Badal,Home,Espanyola,10-14 anys,377
2017,3,Sants-Montjuïc,18,Sants,Home,Espanyola,10-14 anys,680
2017,4,Les Corts,19,les Corts,Home,Espanyola,10-14 anys,794
2017,4,Les Corts,20,la Maternitat i Sant Ramon,Home,Espanyola,10-14 anys,437
2017,4,Les Corts,21,Pedralbes,Home,Espanyola,10-14 anys,285
2017,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Home,Espanyola,10-14 anys,137
2017,5,Sarrià-Sant Gervasi,23,Sarrià,Home,Espanyola,10-14 anys,730
2017,5,Sarrià-Sant Gervasi,24,les Tres Torres,Home,Espanyola,10-14 anys,527
2017,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Home,Espanyola,10-14 anys,690
2017,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Home,Espanyola,10-14 anys,1197
2017,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Home,Espanyola,10-14 anys,680
2017,6,Gràcia,28,Vallcarca i els Penitents,Home,Espanyola,10-14 anys,367
2017,6,Gràcia,29,el Coll,Home,Espanyola,10-14 anys,136
2017,6,Gràcia,30,la Salut,Home,Espanyola,10-14 anys,268
2017,6,Gràcia,31,la Vila de Gràcia,Home,Espanyola,10-14 anys,810
2017,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Home,Espanyola,10-14 anys,562
2017,7,Horta-Guinardó,33,el Baix Guinardó,Home,Espanyola,10-14 anys,449
2017,7,Horta-Guinardó,34,Can Baró,Home,Espanyola,10-14 anys,171
2017,7,Horta-Guinardó,35,el Guinardó,Home,Espanyola,10-14 anys,702
2017,7,Horta-Guinardó,36,la Font d'en Fargues,Home,Espanyola,10-14 anys,235
2017,7,Horta-Guinardó,37,el Carmel,Home,Espanyola,10-14 anys,610
2017,7,Horta-Guinardó,38,la Teixonera,Home,Espanyola,10-14 anys,242
2017,7,Horta-Guinardó,39,Sant Genís dels Agudells,Home,Espanyola,10-14 anys,129
2017,7,Horta-Guinardó,40,Montbau,Home,Espanyola,10-14 anys,81
2017,7,Horta-Guinardó,41,la Vall d'Hebron,Home,Espanyola,10-14 anys,110
2017,7,Horta-Guinardó,42,la Clota,Home,Espanyola,10-14 anys,10
2017,7,Horta-Guinardó,43,Horta,Home,Espanyola,10-14 anys,557
2017,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Home,Espanyola,10-14 anys,469
2017,8,Nou Barris,45,Porta,Home,Espanyola,10-14 anys,427
2017,8,Nou Barris,46,el Turó de la Peira,Home,Espanyola,10-14 anys,266
2017,8,Nou Barris,47,Can Peguera,Home,Espanyola,10-14 anys,56
2017,8,Nou Barris,48,la Guineueta,Home,Espanyola,10-14 anys,329
2017,8,Nou Barris,49,Canyelles,Home,Espanyola,10-14 anys,134
2017,8,Nou Barris,50,les Roquetes,Home,Espanyola,10-14 anys,343
2017,8,Nou Barris,51,Verdun,Home,Espanyola,10-14 anys,218
2017,8,Nou Barris,52,la Prosperitat,Home,Espanyola,10-14 anys,478
2017,8,Nou Barris,53,la Trinitat Nova,Home,Espanyola,10-14 anys,162
